tibu,n,mismatch_rate
NC,113,0.9911504424778761
TO,264,0.5265151515151515
Blank,121,0.33884297520661155
F,34,0.2647058823529412
LTFU,131,0.13740458015267176
C,1156,0.12889273356401384
TC,1531,0.12540822991508818
D,184,0.09782608695652174
