clinic_id,n,mismatch_rate,type1_rate,type2_rate
39.xlsx,49,0.20408163265306123,0.04081632653061224,0.061224489795918366
13.xlsx,51,0.11764705882352941,0.0,0.0784313725490196
19.xlsx,39,0.10256410256410256,0.0,0.05128205128205128
23.xlsx,67,0.08955223880597014,0.05970149253731343,0.0
20.xlsx,56,0.08928571428571429,0.017857142857142856,0.017857142857142856
33.xlsx,148,0.08783783783783784,0.02027027027027027,0.04054054054054054
27.xlsx,58,0.08620689655172414,0.017241379310344827,0.034482758620689655
28.xlsx,72,0.08333333333333333,0.013888888888888888,0.0
16.xlsx,49,0.08163265306122448,0.0,0.02040816326530612
21.xlsx,39,0.07692307692307693,0.02564102564102564,0.02564102564102564
8.xlsx,1547,0.07110536522301228,0.010342598577892695,0.03232062055591468
1.xlsx,53,0.05660377358490566,0.0,0.0
31.xlsx,111,0.05405405405405406,0.0,0.018018018018018018
22.xlsx,60,0.05,0.016666666666666666,0.016666666666666666
26.xlsx,62,0.04838709677419355,0.0,0.03225806451612903
29.xlsx,73,0.0410958904109589,0.0,0.0273972602739726
38.xlsx,98,0.04081632653061224,0.01020408163265306,0.02040816326530612
10.xlsx,275,0.03636363636363636,0.0036363636363636364,0.01090909090909091
24.xlsx,38,0.02631578947368421,0.0,0.02631578947368421
